MapRefNo,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Renovated,latitude,longitude,isu_dist,airport_dist,downtown_dist,price_per_area
528351010,4316,5.8779469516291885,2-STORY 1946 & NEWER,RL,2.0170333392987803,21.13823061206098,1.0,None,0.9017818831033207,Lvl,AllPub,Corner,2.0,NoRidge,Norm,Norm,1Fam,2Story,10,6,1994,1995,Gable,WdShngl,HdBoard,HdBoard,BrkFace,1170.0,3.0,2.0,PConc,5.0,2.4341454443074553,4.0,6.0,1455.0,4.119873494213048,0.0,989.0,2444.0,GasA,4.0,1.0,SBrkr,2444,1872,0,0.0,1.0,3,1,4,1,4.0,10,7.0,2,5.0,Attchd,1994.0,3.0,3.0,832.0,2.11249557097178,3.0,2.0,382,50,0,0,0,0,0.08467418783409197,0.0,None,0,1,2007,WD ,Normal,Yes,42.051982344191906,-93.6574501465908,1.7872899060011531,4.618113185597001,2.6914019553976005,174.93049119555144
528320060,3627,5.795880017344076,2-STORY 1946 & NEWER,RL,2.071882007306125,23.16641792220621,1.0,None,0.9017818831033207,Lvl,AllPub,CulDSac,2.0,NoRidge,Norm,Norm,1Fam,2Story,10,5,1995,1996,Hip,CompShg,HdBoard,HdBoard,BrkFace,1378.0,1.8265931494113017,1.4825494664808143,PConc,5.0,2.4341454443074553,4.0,6.0,1387.0,4.119873494213048,0.0,543.0,1930.0,GasA,4.0,1.0,SBrkr,1831,1796,0,1.0,0.0,3,1,4,1,2.2636393278340137,10,7.0,1,1.8756322044586435,Attchd,1995.0,3.0,3.0,807.0,2.11249557097178,3.0,2.0,361,76,0,0,0,0,0.08467418783409197,0.0,None,0,7,2006,WD ,Normal,Yes,42.05322805592854,-93.65764873299152,1.871107636725876,4.701215992420907,2.7561963655503776,172.31872070581744
528164060,2470,5.788875115775419,1-STORY 1946 & NEWER ALL STYLES,RL,2.0253058652647704,19.17498413351016,1.0,None,3.0,HLS,AllPub,Inside,1.0809763062605158,NridgHt,Norm,Norm,1Fam,1Story,10,5,2003,2003,Hip,CompShg,MetalSd,MetalSd,Stone,680.0,3.0,2.0,PConc,5.0,2.4341454443074553,4.0,6.0,2257.0,4.119873494213048,0.0,278.0,2535.0,GasA,4.0,1.0,SBrkr,2470,0,0,2.0,0.0,1,1,1,1,4.0,7,7.0,2,2.2533270170006707,Attchd,2003.0,3.0,3.0,789.0,2.11249557097178,3.0,2.0,154,65,0,0,216,144,2.0,0.0,None,0,2,2008,WD ,Normal,No,42.05847504704885,-93.65680995634683,2.2004259675482074,5.0212058667667225,2.982695979030344,248.98785425101212
528150070,2364,5.786507950304687,1-STORY 1946 & NEWER ALL STYLES,RL,2.0,19.230887962776407,1.0,None,0.9017818831033207,Lvl,AllPub,Inside,2.0,NridgHt,Norm,Norm,1Fam,1Story,9,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,Stone,760.0,3.0,2.0,PConc,5.0,2.4341454443074553,4.0,6.0,2188.0,4.119873494213048,0.0,142.0,2330.0,GasA,4.0,1.0,SBrkr,2364,0,0,1.0,0.0,2,1,2,1,4.0,11,7.0,2,2.2533270170006707,Attchd,2009.0,3.0,3.0,820.0,2.11249557097178,3.0,2.0,0,67,0,0,0,0,0.08467418783409197,0.0,None,0,3,2010,New,Partial,Yes,42.060462,-93.655516,2.31524548420272,5.1268580720626415,3.0433271982679626,258.7381556683588
528110020,2674,5.785329835010767,1-STORY 1946 & NEWER ALL STYLES,RL,2.0211892990699383,19.44147710485854,1.0,None,3.0,Lvl,AllPub,Inside,2.0,NridgHt,PosA,PosA,1Fam,1Story,10,5,2007,2007,Hip,CompShg,VinylSd,VinylSd,Stone,472.0,3.0,2.0,PConc,5.0,2.4341454443074553,4.0,6.0,2288.0,4.119873494213048,0.0,342.0,2630.0,GasA,4.0,1.0,SBrkr,2674,0,0,2.0,0.0,2,1,2,1,4.0,8,7.0,2,2.2533270170006707,Attchd,2007.0,3.0,3.0,762.0,2.11249557097178,3.0,2.0,360,50,0,0,0,0,0.08467418783409197,0.0,None,0,3,2009,WD ,Normal,No,42.063049299999996,-93.6559183,2.493631684563833,5.302164826095901,3.1960108180433418,228.1226626776365
527216080,2338,5.772018621899742,1-STORY 1946 & NEWER ALL STYLES,RL,1.7160033436347992,24.75357498084535,1.0,None,0.9017818831033207,Lvl,AllPub,CulDSac,2.0,StoneBr,PosN,Norm,1Fam,1Story,9,5,2006,2007,Hip,CompShg,VinylSd,VinylSd,BrkFace,710.0,3.0,2.0,PConc,5.0,2.4341454443074553,2.7219867696906777,6.0,1101.0,4.119873494213048,0.0,1559.0,2660.0,GasA,4.0,1.0,SBrkr,2338,0,0,1.0,0.0,2,1,4,1,2.2636393278340137,8,7.0,2,2.2533270170006707,Attchd,2005.0,3.0,3.0,1110.0,3.0,3.0,2.0,0,135,0,0,322,0,0.08467418783409197,0.0,None,0,6,2007,New,Partial,Yes,42.06084660866363,-93.62614208665285,2.464452204516776,4.860612003435223,2.416723906565812,253.03122326775025
528360050,3500,5.766784515497858,2-STORY 1946 & NEWER,RL,2.0569048513364727,20.29208473598552,1.0,None,0.9017818831033207,Lvl,AllPub,Inside,2.0,NoRidge,Norm,Norm,1Fam,2Story,9,5,1993,1994,Hip,CompShg,MetalSd,MetalSd,BrkFace,738.0,1.8265931494113017,1.4825494664808143,PConc,5.0,2.4341454443074553,4.0,2.4720498500137325,292.0,6.0,1393.0,48.0,1733.0,GasA,4.0,1.0,SBrkr,1933,1567,0,1.0,0.0,3,1,4,1,4.0,11,7.0,1,1.8756322044586435,Attchd,1993.0,2.5752869056400822,3.0,959.0,2.11249557097178,3.0,2.0,870,86,0,0,210,0,0.08467418783409197,0.0,None,0,5,2006,WD ,Normal,Yes,42.04941396291258,-93.65618535915159,1.598532561119142,4.429567476843611,2.5275341043580664,167.0
528106020,2402,5.7442929831226754,1-STORY 1946 & NEWER ALL STYLES,RL,2.0211892990699383,19.87919583215046,1.0,None,3.0,Lvl,AllPub,Inside,2.0,NridgHt,Norm,Norm,1Fam,1Story,10,5,2008,2008,Hip,CompShg,VinylSd,VinylSd,Stone,200.0,3.0,2.0,PConc,5.0,2.4341454443074553,4.0,6.0,1767.0,4.065812977901225,539.0,788.0,3094.0,GasA,4.0,1.0,SBrkr,2402,0,0,1.0,0.0,2,0,2,1,4.0,10,7.0,2,2.2533270170006707,Attchd,2008.0,3.0,3.0,672.0,2.11249557097178,3.0,2.0,0,72,0,0,170,0,0.08467418783409197,0.0,None,0,4,2009,WD ,Normal,No,42.0620953790911,-93.65694808078995,2.442836603008416,5.257871704954141,3.177236231532345,231.05745212323063
527216070,3279,5.730782275666388,2-STORY 1946 & NEWER,RL,1.6720978579357175,24.880119822464234,1.0,None,0.0037911103834481494,HLS,AllPub,CulDSac,1.0809763062605158,StoneBr,Norm,Norm,1Fam,2Story,8,5,2003,2003,Hip,CompShg,CemntBd,Wd Shng,BrkFace,603.0,3.0,2.0,PConc,2.754406441726428,2.4341454443074553,4.0,3.1799343302297918,1416.0,4.119873494213048,0.0,234.0,1650.0,GasA,4.0,1.0,SBrkr,1690,1589,0,1.0,0.0,3,1,4,1,4.0,12,5.727753888212493,1,2.2533270170006707,BuiltIn,2003.0,3.0,3.0,841.0,2.11249557097178,3.0,2.0,503,36,0,0,210,0,0.08467418783409197,0.0,None,0,6,2010,WD ,Normal,No,42.060878739096815,-93.62613914098549,2.4665562598455577,4.862821041045618,2.4188819098175154,164.0744129307716
527214060,2698,5.7283537820212285,2-STORY 1946 & NEWER,RL,1.9138138523837167,20.025286705168806,1.0,None,0.9017818831033207,Lvl,AllPub,CulDSac,2.0,StoneBr,Norm,Norm,1Fam,2Story,10,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,Stone,734.0,3.0,2.0,PConc,5.0,2.4341454443074553,1.8576374438380683,6.0,1206.0,4.119873494213048,0.0,644.0,1850.0,GasA,4.0,1.0,SBrkr,1850,848,0,1.0,0.0,2,1,4,1,4.0,11,7.0,1,2.2533270170006707,Attchd,2006.0,2.5752869056400822,3.0,736.0,2.11249557097178,3.0,2.0,250,0,0,0,0,0,0.08467418783409197,0.0,None,0,7,2006,New,Partial,No,42.06007471428571,-93.62771,2.3847667452974246,4.811566919105714,2.37985572292951,198.29503335804299
